gene_id	ERR3971857	ERR3971858	ERR3971859	ERR3971860	ERR3971861	ERR3971862
AT1G01010	145	202	218	151	116	118
AT1G01020	248	260	252	210	225	240
AT1G01030	27	39	36	47	24	38
AT1G01040	710	963	745	913	740	866
AT1G01046	13	14	11	18	22	13
AT1G01050	421	576	504	534	548	468
AT1G01060	11	5	9	13	9	4
AT1G01070	51	34	34	58	38	56
AT1G01080	742	683	714	823	817	808
AT1G01090	3017	3292	3158	3429	3505	3222
AT1G01100	2152	2542	2402	2063	2778	2405
AT1G01110	36	32	35	41	47	66
AT1G01120	541	470	657	453	351	346
AT1G01130	25	37	43	21	43	47
AT1G01140	1690	2171	1987	1136	1169	1048
AT1G01150	0	3	1	0	0	2
AT1G01160	318	390	338	315	373	344
AT1G01170	567	785	598	709	837	594
AT1G01180	431	618	497	275	350	296
AT1G01183	0	0	0	0	1	0
AT1G01190	6	7	7	55	44	100
AT1G01200	1	5	2	12	7	13
AT1G01210	173	212	185	193	230	178
AT1G01220	391	476	467	467	448	466
AT1G01225	17	13	25	21	15	18
AT1G01230	395	465	420	370	344	324
AT1G01240	357	502	377	377	419	309
AT1G01250	5	5	2	14	6	12
AT1G01260	242	338	385	211	193	211
AT1G01270	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0
AT1G01290	129	171	158	149	180	144
AT1G01300	642	643	592	919	969	1034
AT1G01305	0	0	0	0	0	0
AT1G01310	0	0	3	0	5	0
AT1G01320	4283	4718	4001	5834	4688	5603
AT1G01335	0	0	0	0	0	0
AT1G01340	519	780	786	289	281	268
AT1G01350	343	435	424	354	326	298
AT1G01355	6	2	4	0	3	4
AT1G01360	106	153	107	164	134	127
AT1G01370	21	38	35	30	31	39
AT1G01380	4	9	12	1	12	6
AT1G01390	36	34	38	45	30	28
AT1G01400	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0
AT1G01420	58	78	48	112	89	100
AT1G01430	770	831	626	965	1057	956
AT1G01440	382	472	435	336	268	340
AT1G01448	98	139	107	130	152	143
AT1G01450	0	0	0	0	0	0
AT1G01453	5	2	3	1	3	1
AT1G01460	0	0	1	0	0	0
AT1G01470	491	580	626	562	455	415
AT1G01480	305	472	499	12	6	15
AT1G01490	1650	2409	2080	1258	1693	1331
AT1G01500	234	267	238	247	261	232
AT1G01510	505	640	562	619	511	611
AT1G01520	4	4	3	6	6	2
AT1G01530	0	0	1	0	1	1
AT1G01540	938	1124	937	1002	1134	986
AT1G01550	2392	2916	2816	2243	1893	2122
AT1G01560	99	158	187	8	13	16
AT1G01570	9	9	3	7	10	12
AT1G01580	3	5	24	10	39	4
AT1G01590	1	0	0	0	0	1
AT1G01600	33	30	44	38	50	34
AT1G01610	727	882	818	929	817	793
AT1G01620	3431	3896	2940	3911	3959	3986
AT1G01630	440	591	510	530	431	443
AT1G01640	23	24	20	41	28	42
AT1G01650	570	727	740	488	460	469
AT1G01660	8	24	11	12	22	11
AT1G01670	22	24	15	24	18	24
AT1G01680	37	117	188	14	25	6
AT1G01690	49	65	53	85	65	76
AT1G01695	4	3	1	4	1	2
AT1G01700	9	15	11	27	16	19
AT1G01710	468	612	512	470	466	374
AT1G01715	50	67	58	44	71	47
AT1G01720	1004	1250	1340	628	830	726
AT1G01725	101	131	95	125	116	101
AT1G01730	439	569	545	421	503	406
AT1G01740	110	132	125	96	121	69
AT1G01750	2	7	8	15	17	10
AT1G01760	44	60	42	56	39	58
AT1G01770	694	901	820	637	587	577
AT1G01780	139	186	180	169	182	163
AT1G01790	992	1062	1028	1303	1227	1178
AT1G01800	637	811	684	650	694	593
AT1G01810	4	5	6	10	17	6
AT1G01820	1062	1484	1250	1047	1176	987
AT1G01830	221	296	227	217	208	186
AT1G01840	0	1	1	1	0	1
AT1G01860	102	107	99	145	154	151
AT1G01870	0	0	0	0	0	0
AT1G01880	29	34	28	53	32	45
AT1G01890	0	0	0	0	0	0
AT1G01900	11	12	6	13	8	7
AT1G01910	848	899	914	715	673	664
AT1G01920	237	268	251	302	238	292
AT1G01930	205	249	242	222	208	229
AT1G01940	147	202	178	148	155	176
AT1G01950	366	331	331	352	266	337
AT1G01960	1879	1891	1940	1939	1395	1822
AT1G01970	279	333	299	360	396	332
AT1G01980	0	0	0	1	0	1
AT1G01990	325	379	326	278	340	309
AT1G02000	140	175	150	135	156	109
AT1G02010	105	149	113	187	169	173
AT1G02020	206	190	178	217	211	206
AT1G02030	8	4	4	1	6	5
AT1G02040	0	0	0	0	0	0
AT1G02050	107	114	115	129	140	116
AT1G02060	159	142	146	197	143	185
AT1G02065	20	30	24	38	27	33
AT1G02067	0	0	0	0	0	0
AT1G02070	5	9	5	8	9	3
AT1G02080	1657	2006	1983	2055	1254	1826
AT1G02090	393	501	437	429	445	425
AT1G02100	657	825	776	690	820	675
AT1G02110	367	388	384	378	400	433
AT1G02120	1719	2260	2044	1676	1578	1554
AT1G02130	358	554	364	394	451	445
AT1G02140	1098	1284	1158	1199	1274	1172
AT1G02145	276	397	305	340	328	346
AT1G02150	1248	1236	1295	1424	1673	1431
AT1G02160	286	347	288	267	354	321
AT1G02170	657	866	924	439	503	397
AT1G02180	19	27	18	21	21	29
AT1G02190	2	0	2	0	0	3
AT1G02205	30	34	36	47	38	82
AT1G02210	0	0	0	0	0	0
AT1G02220	316	441	519	132	162	161
AT1G02230	15	18	30	15	15	10
AT1G02250	1	1	0	2	2	0
AT1G02260	349	435	405	373	411	408
AT1G02270	231	275	296	234	208	218
AT1G02280	842	974	901	881	1004	972
AT1G02290	90	129	66	117	75	99
AT1G02300	386	549	427	525	667	517
AT1G02305	1108	1419	1126	1324	1381	1239
AT1G02310	21	23	31	11	10	7
AT1G02320	0	0	0	0	0	0
AT1G02330	310	390	405	335	340	319
AT1G02335	28	21	36	25	12	11
AT1G02340	17	33	20	51	46	79
AT1G02350	9	11	10	11	14	8
AT1G02360	526	551	710	266	236	246
AT1G02370	94	98	88	143	117	146
AT1G02380	27	33	29	27	14	12
AT1G02390	11	28	26	5	7	9
AT1G02400	312	381	410	172	119	137
AT1G02405	8	6	8	0	1	1
AT1G02410	184	198	178	167	175	165
AT1G02420	13	13	11	12	9	9
AT1G02430	4	1	8	6	1	2
AT1G02440	5	1	2	11	1	1
AT1G02450	1	5	6	0	6	2
AT1G02460	17	29	39	11	4	14
AT1G02470	159	286	188	125	70	105
AT1G02475	662	840	667	693	593	588
AT1G02480	0	0	0	0	0	0
AT1G02490	2	2	1	2	5	2
AT1G02500	5373	7213	6783	4649	4690	4386
AT1G02510	0	0	0	0	0	0
AT1G02520	441	415	503	301	347	440
AT1G02530	4	4	0	3	2	0
AT1G02540	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0
AT1G02560	2750	2979	2942	2822	2664	2613
AT1G02570	13	22	16	4	0	2
AT1G02575	0	1	0	1	0	1
AT1G02580	32	45	45	5	9	13
AT1G02590	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0
AT1G02610	575	795	586	414	426	458
AT1G02620	148	142	120	83	122	82
AT1G02630	1	2	3	5	2	5
AT1G02640	1321	1473	1310	657	815	919
AT1G02650	32	36	41	35	34	30
AT1G02660	1965	2382	2288	1084	1450	1212
AT1G02670	55	69	64	32	50	35
AT1G02680	148	200	195	136	202	179
AT1G02690	111	119	115	178	142	174
AT1G02700	10	8	4	13	9	15
AT1G02705	3	1	3	4	2	4
AT1G02710	0	0	0	0	0	0
AT1G02720	78	81	84	96	116	121
AT1G02730	129	145	205	294	148	282
AT1G02740	124	173	159	137	163	139
AT1G02750	153	261	186	192	222	157
AT1G02760	0	0	0	0	0	0
AT1G02770	20	23	36	27	18	11
AT1G02780	5490	6184	5842	4836	6060	5791
AT1G02790	0	0	0	0	0	0
AT1G02800	0	1	1	0	1	10
AT1G02810	49	29	58	108	64	139
AT1G02813	0	0	0	0	0	0
AT1G02816	374	488	421	233	308	226
AT1G02820	17	10	15	13	11	2
AT1G02830	0	0	0	0	0	1
AT1G02840	2091	2603	2284	2286	2576	2416
AT1G02850	4565	6077	5619	1545	1945	1264
AT1G02860	333	416	355	298	318	305
AT1G02870	223	200	163	245	273	247
AT1G02880	242	381	362	155	173	163
AT1G02890	2038	2526	2432	1945	1393	1752
AT1G02900	235	315	354	262	262	209
AT1G02910	728	708	654	723	717	664
AT1G02920	12296	16940	18611	6217	4519	6050
AT1G02930	15310	20388	21566	4673	3124	4730
AT1G02940	11	9	12	2	1	4
AT1G02950	3	7	6	22	11	12
AT1G02952	0	1	0	0	0	1
AT1G02960	316	461	336	380	357	402
AT1G02965	0	0	0	0	0	0
AT1G02970	54	51	42	45	36	59
AT1G02980	0	6	4	0	2	1
AT1G02990	335	404	385	385	267	347
AT1G03000	444	483	490	541	448	485
AT1G03010	11	17	26	15	20	21
AT1G03020	2	0	1	2	1	0
AT1G03030	284	316	288	306	252	259
AT1G03040	717	923	909	554	567	568
AT1G03050	1	0	1	0	1	0
AT1G03055	2	1	1	1	0	3
AT1G03060	1082	1326	1355	1159	778	1063
AT1G03070	4	4	6	6	1	1
AT1G03080	1392	1664	1726	1308	935	1207
AT1G03090	4338	5702	5058	2671	3593	2449
AT1G03100	20	19	20	19	28	19
AT1G03103	0	0	0	0	0	0
AT1G03106	7	1	2	0	1	7
AT1G03110	115	126	142	155	175	173
AT1G03120	1	1	2	2	4	2
AT1G03130	868	1068	881	1296	1505	1269
AT1G03140	810	1072	982	809	859	762
AT1G03150	166	238	171	147	199	161
AT1G03160	591	704	650	856	725	724
AT1G03165	0	2	0	0	1	0
AT1G03170	5	8	5	8	10	13
AT1G03180	30	23	42	31	32	28
AT1G03190	178	240	226	212	184	178
AT1G03200	2	4	10	7	5	7
AT1G03210	370	503	437	402	358	365
AT1G03220	7032	8469	10748	2300	1917	1977
AT1G03230	1038	1110	1497	549	392	540
AT1G03240	1	0	1	1	0	0
AT1G03250	427	544	489	348	366	373
AT1G03260	155	189	187	146	186	164
AT1G03270	27	34	20	29	25	35
AT1G03280	591	761	720	708	681	688
AT1G03290	617	835	853	547	652	448
AT1G03300	0	0	0	0	0	0
AT1G03310	234	222	192	419	283	391
