gene_id	ERR5671402	ERR5671403	ERR5671404	ERR5671408	ERR5671409	ERR5671410
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000031	371	3476	505	5151	5943	3314
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000125	0	0	0	0	0	0
ENSMUSG00000000134	2766	2490	1959	2762	2689	2490
ENSMUSG00000000142	13	27	14	13	9	7
ENSMUSG00000000157	0	0	0	0	0	0
ENSMUSG00000000197	3	7	0	15	0	0
ENSMUSG00000000202	0	0	0	2	10	4
ENSMUSG00000000214	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000276	380	362	442	429	406	725
ENSMUSG00000000305	6	1	0	0	0	23
ENSMUSG00000000318	7	2	11	0	0	0
ENSMUSG00000000381	0	0	0	0	0	0
ENSMUSG00000000385	0	0	0	0	0	0
ENSMUSG00000000392	11	9	0	11	20	4
ENSMUSG00000000394	0	0	0	0	0	0
ENSMUSG00000000402	0	0	0	0	0	0
ENSMUSG00000000411	0	0	0	0	0	0
ENSMUSG00000000489	22	26	2	81	52	434
ENSMUSG00000000560	0	0	0	0	0	0
ENSMUSG00000000561	2564	2271	2348	2682	2459	3209
ENSMUSG00000000562	0	0	0	0	0	0
ENSMUSG00000000606	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0
ENSMUSG00000000673	0	0	0	0	0	0
ENSMUSG00000000701	0	0	0	0	0	0
ENSMUSG00000000724	0	0	0	0	0	0
ENSMUSG00000000730	223	335	94	309	325	224
ENSMUSG00000000731	0	0	0	0	0	0
ENSMUSG00000000766	0	0	0	0	0	0
ENSMUSG00000000817	0	0	0	0	0	0
ENSMUSG00000000869	0	0	0	0	0	0
ENSMUSG00000000889	2	9	0	4	9	9
ENSMUSG00000000901	1679	2173	1726	1405	1844	1254
ENSMUSG00000000959	2015	1918	1521	1861	1683	1662
ENSMUSG00000000982	9	33	0	0	9	10
ENSMUSG00000000983	0	0	0	0	0	0
ENSMUSG00000001027	0	17	2	4	14	2
ENSMUSG00000001065	1072	1020	897	887	906	954
ENSMUSG00000001076	0	0	0	0	0	0
ENSMUSG00000001103	0	0	0	0	0	0
ENSMUSG00000001143	353	198	288	357	303	363
ENSMUSG00000001155	0	0	0	0	0	0
ENSMUSG00000001168	0	0	0	0	0	0
ENSMUSG00000001260	0	0	0	0	0	0
ENSMUSG00000001349	1995	6419	1011	4182	4712	496
ENSMUSG00000001496	0	0	0	0	0	0
ENSMUSG00000001508	2	13	2	86	47	40
ENSMUSG00000001558	5	21	15	2	19	6
ENSMUSG00000001566	0	0	0	0	0	0
ENSMUSG00000001588	0	1	0	0	6	2
ENSMUSG00000001622	0	0	0	8	0	5
ENSMUSG00000001670	0	0	0	0	0	0
ENSMUSG00000001672	0	0	0	0	0	0
ENSMUSG00000001700	738	968	800	850	808	467
ENSMUSG00000001739	328	208	599	408	582	420
ENSMUSG00000001804	0	0	0	0	0	0
ENSMUSG00000001815	0	0	0	0	0	0
ENSMUSG00000001819	0	10	0	6	0	13
ENSMUSG00000001823	0	0	0	0	0	0
ENSMUSG00000001865	0	0	0	0	0	0
ENSMUSG00000001901	0	0	0	0	0	0
ENSMUSG00000001985	2	1	0	6	0	15
ENSMUSG00000001988	0	0	0	0	0	0
ENSMUSG00000002006	341	510	195	404	477	147
ENSMUSG00000002007	0	14	4	66	57	29
ENSMUSG00000002012	25	43	13	11	20	10
ENSMUSG00000002033	0	0	0	0	0	0
ENSMUSG00000002057	3	0	0	0	2	3
ENSMUSG00000002100	0	0	0	0	0	0
ENSMUSG00000002204	0	0	0	0	0	0
ENSMUSG00000002222	807	1168	1084	795	1090	1022
ENSMUSG00000002240	0	0	0	0	0	0
ENSMUSG00000002345	1102	830	960	939	747	672
ENSMUSG00000002395	1719	2023	1393	1766	1786	1343
ENSMUSG00000002500	0	0	0	0	0	0
ENSMUSG00000002565	10	6	4	0	0	27
ENSMUSG00000002617	61	79	77	13	60	224
ENSMUSG00000002633	0	0	0	0	0	0
ENSMUSG00000002748	7227	7518	7233	8875	7753	9613
ENSMUSG00000002799	2	11	12	27	33	53
ENSMUSG00000002930	0	0	0	0	0	0
ENSMUSG00000002948	957	1057	910	1094	1006	987
ENSMUSG00000002984	5292	4461	4698	4836	4190	5609
ENSMUSG00000002992	0	0	0	0	0	0
ENSMUSG00000003053	0	0	0	0	0	0
ENSMUSG00000003279	1	7	23	2	13	51
ENSMUSG00000003309	0	0	0	0	0	0
ENSMUSG00000003316	10832	12067	10056	9703	10792	9113
ENSMUSG00000003378	25	27	35	8	42	31
ENSMUSG00000003382	891	974	892	810	868	864
ENSMUSG00000003410	0	0	0	0	0	0
ENSMUSG00000003469	89	247	98	1	6	0
ENSMUSG00000003476	0	0	0	0	0	0
ENSMUSG00000003505	0	0	0	0	0	0
ENSMUSG00000003555	0	0	0	0	0	0
ENSMUSG00000003974	0	0	0	0	0	0
ENSMUSG00000004018	307	344	265	429	355	457
ENSMUSG00000004085	6269	7338	7064	7567	7191	8680
ENSMUSG00000004187	9	7	16	15	8	0
ENSMUSG00000004231	0	0	0	0	0	0
ENSMUSG00000004296	0	0	0	0	0	0
ENSMUSG00000004341	0	0	0	0	0	0
ENSMUSG00000004344	0	0	0	0	0	0
ENSMUSG00000004347	4	0	22	8	10	26
ENSMUSG00000004360	5	14	8	0	0	27
ENSMUSG00000004366	0	0	0	0	0	0
ENSMUSG00000004415	2	24	1	20	29	28
ENSMUSG00000004542	0	0	0	0	0	0
ENSMUSG00000004552	0	0	0	0	0	0
ENSMUSG00000004612	0	0	0	0	0	0
ENSMUSG00000004630	0	0	0	0	0	0
ENSMUSG00000004668	0	0	12	2	4	5
ENSMUSG00000004707	3	2	0	0	0	0
ENSMUSG00000004709	4	66	0	0	4	0
ENSMUSG00000004730	41	113	3	4	28	10
ENSMUSG00000004814	0	0	0	0	0	0
ENSMUSG00000004821	0	0	0	0	0	0
ENSMUSG00000004837	21	1	13	4	6	51
ENSMUSG00000004872	0	22	100	177	170	240
ENSMUSG00000004892	9	27	30	6	20	2
ENSMUSG00000004894	0	0	0	0	0	0
ENSMUSG00000004902	0	0	0	0	0	0
ENSMUSG00000004939	0	11	5	30	23	5
ENSMUSG00000004988	0	0	0	0	0	0
ENSMUSG00000005057	388	601	364	375	453	386
ENSMUSG00000005131	1	8	9	2	5	45
ENSMUSG00000005202	0	0	0	0	0	0
ENSMUSG00000005232	0	0	0	0	0	0
ENSMUSG00000005268	2	0	31	5	10	32
ENSMUSG00000005320	13	5	0	29	29	30
ENSMUSG00000005339	0	0	0	0	0	0
ENSMUSG00000005360	1221	2122	233	1379	1073	43
ENSMUSG00000005503	0	0	0	0	0	0
ENSMUSG00000005540	0	0	0	0	0	0
ENSMUSG00000005547	0	0	0	0	0	0
ENSMUSG00000005621	1585	1856	1457	1694	1663	1736
ENSMUSG00000005696	0	0	0	0	0	0
ENSMUSG00000005716	0	0	0	4	4	12
ENSMUSG00000005763	0	0	0	0	0	0
ENSMUSG00000005800	14	48	0	2	6	8
ENSMUSG00000005824	0	0	0	0	0	0
ENSMUSG00000005836	79	104	61	147	167	60
ENSMUSG00000005883	0	0	0	0	0	0
ENSMUSG00000005891	0	0	0	0	0	0
ENSMUSG00000005892	0	0	0	0	0	0
ENSMUSG00000005917	2	0	7	0	2	0
ENSMUSG00000005980	0	0	0	0	0	0
ENSMUSG00000005982	1351	1414	1218	1141	1117	1401
ENSMUSG00000005994	0	0	0	0	0	0
ENSMUSG00000006007	0	4	2	0	0	4
ENSMUSG00000006154	0	12	44	15	12	27
ENSMUSG00000006191	778	801	716	924	719	1098
ENSMUSG00000006200	0	0	0	0	0	0
ENSMUSG00000006204	1	0	18	10	2	9
ENSMUSG00000006215	1682	1272	1035	1595	1464	2003
ENSMUSG00000006235	9	6	0	4	0	3
ENSMUSG00000006269	0	0	12	8	5	0
ENSMUSG00000006270	0	0	0	0	0	0
ENSMUSG00000006311	0	0	0	0	0	0
ENSMUSG00000006315	2798	3114	2447	2727	2379	2422
ENSMUSG00000006344	163	281	152	120	318	14
ENSMUSG00000006389	0	0	0	0	0	0
ENSMUSG00000006392	1742	1843	1653	2025	1781	2200
ENSMUSG00000006411	9	45	2	18	4	22
ENSMUSG00000006442	7690	6422	5027	7435	6666	6968
ENSMUSG00000006469	0	0	0	0	0	0
ENSMUSG00000006488	0	5	0	2	8	11
ENSMUSG00000006490	0	2	21	10	9	5
ENSMUSG00000006517	1688	1681	1375	1530	1337	728
ENSMUSG00000006567	4	3	14	4	17	0
ENSMUSG00000006570	0	0	0	0	0	0
ENSMUSG00000006574	0	0	0	0	0	0
ENSMUSG00000006717	652	732	975	600	680	661
ENSMUSG00000006930	8	4	0	0	1	27
ENSMUSG00000006948	0	0	0	0	0	0
ENSMUSG00000007030	8	0	17	8	8	10
ENSMUSG00000007097	7	51	35	112	121	228
ENSMUSG00000007122	17	91	14	151	229	82
ENSMUSG00000007209	0	0	0	0	0	0
ENSMUSG00000007279	20	16	3	2	27	2
ENSMUSG00000007457	0	0	0	0	0	0
ENSMUSG00000007613	1054	917	1856	1212	1728	2546
ENSMUSG00000007777	446	491	547	353	391	521
ENSMUSG00000007877	2	19	6	32	56	14
ENSMUSG00000007907	0	0	0	0	0	0
ENSMUSG00000007944	0	0	0	0	0	0
ENSMUSG00000007946	1	5	0	15	2	8
ENSMUSG00000008590	0	0	0	0	0	0
ENSMUSG00000008730	4776	4644	4700	4332	4096	6398
ENSMUSG00000008789	0	0	0	0	0	0
ENSMUSG00000008813	0	0	0	0	0	0
ENSMUSG00000008843	0	0	0	0	0	0
ENSMUSG00000008845	0	0	0	0	0	0
ENSMUSG00000008874	0	0	0	0	0	0
ENSMUSG00000008999	0	0	0	0	0	0
ENSMUSG00000009047	0	0	0	0	0	0
ENSMUSG00000009090	4027	4367	3242	3914	3486	2807
ENSMUSG00000009092	3	13	9	49	8	2
ENSMUSG00000009114	0	0	0	0	0	0
ENSMUSG00000009214	11	286	36	647	597	291
ENSMUSG00000009216	0	0	0	0	0	0
ENSMUSG00000009246	0	0	0	0	0	0
ENSMUSG00000009281	6	15	9	2	0	2
ENSMUSG00000009350	11	8	0	0	9	5
ENSMUSG00000009471	12	227	32	386	349	391
ENSMUSG00000009487	0	18	2	32	39	23
ENSMUSG00000009545	0	0	0	0	0	0
ENSMUSG00000009551	0	0	0	0	0	0
ENSMUSG00000009580	0	0	0	0	0	0
ENSMUSG00000009588	0	0	0	0	0	0
ENSMUSG00000009630	3256	2796	2612	2888	2715	3971
ENSMUSG00000009646	0	0	0	0	0	0
ENSMUSG00000009654	7	0	4	0	0	11
ENSMUSG00000009687	3446	3373	3768	3644	2558	5566
ENSMUSG00000009900	0	0	0	0	0	0
ENSMUSG00000009905	2155	1945	3015	1963	1604	2390
ENSMUSG00000009995	741	717	678	749	621	622
ENSMUSG00000010064	0	0	0	0	0	0
ENSMUSG00000010066	0	3	0	7	2	13
