gene_id	ERR5671405	ERR5671406	ERR5671407	ERR5671408	ERR5671409	ERR5671410
ENSMUSG00000000001	10649	6988	11615	6490	6850	13317
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	1311	1360	779	1992	1599	2254
ENSMUSG00000000031	213	555	662	5151	5943	3314
ENSMUSG00000000037	130	135	159	131	104	125
ENSMUSG00000000049	22	12	14	13	24	18
ENSMUSG00000000056	1607	1982	1612	1110	1339	638
ENSMUSG00000000058	343	438	852	462	543	856
ENSMUSG00000000078	6467	7259	7845	7060	6746	9666
ENSMUSG00000000085	1445	1133	1008	762	869	1055
ENSMUSG00000000088	4241	3724	2725	4444	4066	4666
ENSMUSG00000000093	99	119	112	66	87	82
ENSMUSG00000000094	90	79	124	98	102	138
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	2	4	4	16	14	45
ENSMUSG00000000125	0	0	0	0	0	0
ENSMUSG00000000126	203	201	175	122	98	115
ENSMUSG00000000127	2599	2634	2926	2791	2492	2068
ENSMUSG00000000131	5172	4958	3900	5721	5080	5594
ENSMUSG00000000134	2467	2319	1950	2762	2689	2490
ENSMUSG00000000142	31	15	14	13	9	7
ENSMUSG00000000148	1264	1377	1034	1059	1182	1070
ENSMUSG00000000149	5994	6135	3951	5615	5741	5584
ENSMUSG00000000154	61	44	77	22	27	18
ENSMUSG00000000157	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	2
ENSMUSG00000000167	65	80	68	81	63	102
ENSMUSG00000000168	4434	3738	3152	4197	3777	4919
ENSMUSG00000000171	5968	5643	4077	6189	5979	6295
ENSMUSG00000000182	1	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	2	0
ENSMUSG00000000184	16601	17328	15614	13556	14779	10409
ENSMUSG00000000194	4683	4450	3998	4521	4360	3200
ENSMUSG00000000197	0	0	0	15	0	0
ENSMUSG00000000202	0	0	0	2	10	4
ENSMUSG00000000204	0	0	0	0	0	1
ENSMUSG00000000214	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	2	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000223	181	189	156	204	235	145
ENSMUSG00000000244	4	4	4	0	0	0
ENSMUSG00000000247	13	40	24	9	34	23
ENSMUSG00000000248	0	0	4	0	0	0
ENSMUSG00000000253	339	330	271	371	301	204
ENSMUSG00000000263	29	0	7	9	41	8
ENSMUSG00000000266	700	570	938	640	711	789
